"boot1","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6"
1,0,-42.25,-14.0833333333333,-7.82284614023625,8.26218627565418,0.0722228031031455,-7.51323120244128,-2.00475366434821,-6.74043932286776
0,0,-43.9166666666667,-8.91666666666666,-9.29766296540492,10.0220779048777,-0.163706768854348,-7.37087300093466,-1.69822839740876,-7.76559056478253
1,0,-67.75,6.58333333333333,-12.8196656259098,8.43468855852305,-0.145752296198388,-7.96467499861883,1.40835332458286,-6.94088973227888
0,0,-70.75,-16.25,-0.977935749052628,2.4374246598474,-1.89796558190674,-9.50460738097452,-1.49957737895723,-7.30866603708698
0,0,-63.25,-11.0833333333333,-10.9807262337391,7.59446480479536,0.590757569432567,-8.99963403585018,-1.02997839740101,-6.44185261856113
0,0,-41.25,-17.75,-8.87954894084582,8.11159342517594,1.17220757617947,-7.68466969519857,-1.78681806009695,-6.80212435268314
1,0,-56.25,1.75,-12.247209439792,7.34719862810113,0.280095954452724,-8.08064033248169,-0.287204010546633,-7.06353282403923
0,0,-50.75,-25.9166666666667,-7.84907684806202,4.08806617159056,3.43279979425543,-7.89596935106034,-1.19669635636825,-6.35186902355797
0,0,-71.25,-0.916666666666666,-14.6976954052431,3.81695741656307,2.55252131132361,-7.20102827386095,-1.88874194198278,-7.94990500882341
0,0,-43.9166666666667,-9.58333333333333,-8.51227069566699,9.66182749479418,-0.0484656900468811,-7.88267172291213,-2.08744375564098,-7.81739020515434
1,0,-47.0833333333333,-17.4166666666667,-9.38636716547609,7.47906241727564,1.02748310682526,-8.82829536443558,-2.04888662797887,-6.51306650058225
0,0,-60.25,-24.0833333333333,-7.11231466273734,9.30734947096329,3.18597037475975,-7.91064565606917,-1.21615088468331,-7.45123188876216
1,0,-60.0833333333333,-12.25,-9.89120911765688,6.85000845620963,0.448811802680029,-9.79604947589991,-1.11042568185189,-6.10696590493165
1,0,-50.9166666666667,-23.0833333333333,-8.7157100888169,6.86455582490655,2.58075835451307,-8.29825313840587,-1.69629454730047,-6.70469934073193
0,0,-62.5833333333333,6.25,-11.8256809201923,5.84168727738722,-0.735899125510593,-8.61328559845403,-0.482130990461451,-6.10605047560664
1,0,-70.25,1.25,-14.7680130655384,4.00949086226089,1.70586850699998,-7.83612805999426,-0.450154762477529,-7.70774214258191
1,0,-38.75,-5.41666666666666,-9.86814068805039,10.0293854539088,-0.808548704548165,-6.7251549499136,-1.51358243929411,-7.50178465419956
0,0,-57.25,-26.4166666666667,-8.88844574690241,6.79719357950724,4.17486549091782,-7.53676630770736,-1.07712922587844,-6.45039987441066
1,0,-69.9166666666667,-31.75,2.12617737604193,-1.0465598648675,-1.14976518135374,-7.01206542021381,0.051497224468839,-5.61771005644169
0,0,-53.9166666666667,-32.25,-7.0969853372145,4.91346850400104,3.86693397576306,-6.71914760883963,-0.305671771943883,-6.36279441597898
0,0,-58.25,-17.75,-9.85920173150348,8.57464581726602,1.98262610678764,-8.44362428750847,-2.03967340843049,-6.9578744852666
1,0,-60.0833333333333,-34.0833333333333,-5.9753414564541,6.50212080794854,4.37275985773203,-7.73614626353746,-0.405439712125663,-6.54594554193786
0,0,-72.5833333333333,2.58333333333333,-13.3842397352706,7.50149564861878,1.17555236936617,-7.63557877250058,0.754177955201925,-6.66425335649769
1,0,-60.0833333333333,-35.4166666666667,-5.71848663712243,6.34034093279966,4.50227605971092,-7.94024388672983,-0.284929009906115,-6.56293976363644
0,0,-49.0833333333333,-18.5833333333333,-8.98112562106636,8.26143622635596,0.921743542936209,-9.30559178243929,-1.96694880481499,-6.74673350334542
0,0,-54.0833333333333,-22.9166666666667,-9.6254150672185,6.61692601131157,2.54273206338388,-8.34459679577168,-1.58431249385679,-6.5198112052535
0,0,-41.4166666666667,-18.25,-9.03253220617295,7.91603127471567,1.19299336502111,-8.08938051394922,-1.62950694345112,-6.53667694240706
0,0,-54.4166666666667,3.25,-12.8862106338754,6.15136691319627,0.346095389807284,-7.39560577184825,0.063105225750652,-6.56369240693957
0,0,-42.0833333333333,-9.08333333333333,-8.78343415240973,10.5465462908343,0.0136454233975639,-7.58467584177492,-2.43522052619531,-8.22756085716228
0,0,-49.75,-23.0833333333333,-8.66177260675597,6.56522773585113,2.42295136025424,-8.60115387792087,-1.70981137362783,-6.55090753366266
1,0,-78.0833333333333,-2.91666666666666,-12.9882205104064,2.78713633925502,1.72708296277586,-8.03896176151716,-1.50322516675779,-7.96127777088885
1,0,-67.9166666666667,-7.08333333333333,-12.9791551832835,6.10082677323592,0.811727243031752,-9.05721590731492,-1.4608459956604,-6.60024980658606
0,0,-45.0833333333333,-6.91666666666666,-9.82256483660486,9.37206647852063,0.210455831608721,-7.30906399367933,-1.4213259608697,-7.21315259175664
0,0,-69.75,-21.5833333333333,-4.13262519123173,7.45683485244244,1.1597837388915,-4.6347664428131,-1.56621673999895,-6.72333239571821
0,0,-68.75,8.58333333333333,-11.3725186308881,9.12987161955522,0.173137216693633,-7.24273107833371,0.0366005965918311,-6.96654079188878
0,0,-41.5833333333333,-18.5833333333333,-8.96934366003415,7.77924419579164,1.18371478528473,-8.26484986612543,-1.60577189131475,-6.42047955011713
1,0,-57.75,-18.75,-9.49243502597881,8.85658192861288,1.98308608324375,-7.87700041075014,-2.0225892253277,-7.01303089737231
0,0,-37.9166666666667,-10.75,-8.68352438357877,7.26758937549846,0.889515994462734,-5.59820771297699,-1.30400684176277,-6.45371706875656
1,0,-66.5833333333333,-2.91666666666666,-14.2861700611333,4.09077472133366,2.04053170850792,-7.40211718849181,-1.98046271623721,-7.75244605772863
0,0,-55.0833333333333,-18.4166666666667,-10.1628004600283,8.50596703078084,1.59830976349777,-8.48358273039641,-1.37085933793451,-6.74256693157185
0,0,-45.0833333333333,-21.25,-8.51916837109667,6.14774120096998,1.0441535909299,-9.56748183355704,-1.52847498010321,-5.87178228353317
0,0,-53.75,-4.08333333333333,-11.5649824903386,7.11302309666823,-0.0730591202079847,-7.16141761088606,-0.483022522169924,-7.06891109862715
0,0,-68.5833333333333,4.08333333333333,-14.2000394571392,6.25097018054458,0.733456978663216,-8.01289962870765,0.980036733229104,-7.14191990993484
1,0,-49.9166666666667,-29.25,-8.8353798940949,4.21378502771923,3.79453256536827,-5.65658431253961,-0.896329183751687,-5.14280701335025
0,0,-66.25,1.41666666666667,-15.1401051507076,4.3841511302529,2.00503816411481,-8.10809189130136,-1.5651654539105,-8.7801430319759
0,0,-56.75,-12.0833333333333,-11.1171877457977,8.24308936624464,0.805025119310173,-10.4767915208626,-1.15435794146469,-6.60611063317662
0,0,-61.5833333333333,-28.4166666666667,-6.60956321957972,8.94639973445424,3.95230444739925,-8.90609974822714,-0.782367163395759,-7.38425902152163
0,0,-56.0833333333333,-10.25,-10.9514273986922,8.32653580554245,0.732677011889563,-10.202280189523,-0.857968459404424,-6.76270306121047
0,0,-68.9166666666667,-26.9166666666667,0.516006589565374,1.79700823890732,-1.50901286551843,-5.92556870391818,-1.37225907540284,-6.51846045523934
0,0,-55.25,-33.4166666666667,-7.19201897214969,5.02774091691811,4.55045151181318,-6.86573621140288,-0.383304623288545,-6.64132763173845
0,0,-43.25,-19.25,-9.16049321205084,6.89015957961666,1.03499242239392,-9.85355556770247,-1.14189817472317,-5.83911704944508
1,0,-72.4166666666667,-10.25,-11.4526813223349,7.02653057962068,1.14742063941749,-8.49975458108765,-2.33831021874107,-6.68028062846879
1,0,-62.25,-34.5833333333333,-5.00788253879308,7.02636763254486,4.33102399482771,-8.05559359671954,-0.19312099592193,-6.67921573025304
1,0,-69.4166666666667,-15.5833333333333,-3.82479746493786,2.21155813119809,-1.67570995113744,-7.898902281344,-1.10263016173808,-5.42407329424984
1,0,-46.25,-20.0833333333333,-8.34277678659324,6.54624726656951,1.11269487505324,-9.92622049123055,-1.5258067427779,-6.15264704154874
1,0,-74.0833333333333,4.25,-6.15012134842623,0.236150013381295,-1.25762753400343,-6.41733441753915,-1.58186020879494,-5.01469864287093
0,0,-80.0833333333333,-4.91666666666666,-7.18306674808649,10.1216280082759,-1.08697809032302,-7.97664227796272,-2.0765494663835,-8.48200376562852
1,0,-61.75,-3.58333333333333,-13.7271072556331,5.83456752332529,0.914212622807968,-6.93624154243739,-0.955582301995941,-7.12458933096494
0,0,-76.75,-2.08333333333333,-14.6855615134046,3.07137014313899,2.60405697525355,-7.79506586799536,-2.2358932575087,-8.57280843738844
0,0,-76.0833333333333,8.08333333333333,-12.404798926873,7.17268501273279,0.137996214300708,-7.05497396033138,-1.38316581556857,-6.91925049028563
0,0,-66.75,-14.25,-11.0731130134474,7.69518835314203,1.56419473299585,-8.44786850149177,-1.72443642209979,-6.58919186700926
0,0,-62.25,1.41666666666667,-12.4992965751099,6.92419304183563,0.129836168742322,-7.22108177613653,-1.0986887818202,-7.55112507238932
0,0,-50.0833333333333,-16.5833333333333,-9.7301806024732,7.76595551433539,0.203235782105792,-8.15109858498224,-0.693591198350918,-6.04711395196358
1,0,-42.25,-10.75,-8.1316070660952,10.3302905287004,0.245280194979095,-7.64112797246274,-2.17531330422524,-8.17898203765764
0,0,-72.0833333333333,3.91666666666667,-12.5756512939779,7.54286692759152,0.371160012854146,-7.52786217528981,0.941192718329922,-6.61507088537828
1,0,-60.9166666666667,-21.75,-7.61325173131168,10.0108158805998,2.83659705226865,-7.91920074903643,-1.32714252878831,-7.55969637074277
0,0,-73.25,-13.5833333333333,-4.28895334202804,4.47130207718512,-1.07065365568648,-9.18063132816655,-1.75408809455426,-7.57790184165283
0,0,-65.0833333333333,-11.4166666666667,-10.9700177514915,8.55984477525171,0.78586015301994,-8.4631864399735,-1.54211202103939,-6.30686308722504
1,0,-40.4166666666667,-3.08333333333333,-10.8797429361323,10.0038704485508,-1.16693169532332,-7.63621896788271,0.153584918680371,-8.10599968865842
0,0,-63.75,-13.4166666666667,-10.3597114155685,8.67696705853381,0.83257907360131,-8.59533404018101,-1.70104739561048,-6.77600962153136
0,0,-67.9166666666667,-9.25,-11.5969760741738,7.25045171162187,0.79202827139315,-8.7079942853629,-1.75211760671537,-6.55861298653033
1,0,-72.75,0.416666666666668,-13.5466738081276,5.41824320922317,1.12878920245034,-7.43312198828629,-0.203488558766187,-6.79508184891225
